person_name;n_brevetti;periodo;tipo_ente;paese_verificato;continente
MITSUBISHI;192;Pre-2000;Azienda;JP;Asia
HITACHI;179;Pre-2000;Azienda;JP;Asia
GENERAL ELECTRIC;176;Pre-2000;Azienda;US;America
UNITED TECHNOLOGIES;139;Pre-2000;Azienda;US;America
BOEING;103;Pre-2000;Azienda;US;America
TOSHIBA;79;Pre-2000;Azienda;JP;Asia
SIEMENS;77;Pre-2000;Azienda;DE;Europa
WESTINGHOUSE;58;Pre-2000;Azienda;US;America
PANASONIC (MATSUSHITA);57;Pre-2000;Azienda;JP;Asia
Sundstrand Corporation;52;Pre-2000;Azienda;US;America
FUJI;51;Pre-2000;Azienda;JP;Asia
The United States Of America As Represented By The Secretary Of The Navy;39;Pre-2000;Ente pubblico;US;America
WOBBEN, ALOYS;35;Pre-2000;Azienda;DE;Europa
EUROCOPTER;33;Pre-2000;Azienda;FR;Europa
HONDA;32;Pre-2000;Azienda;JP;Asia
The United States Of America As Represented By The Administrator Of The;28;Pre-2000;Ente pubblico;US;America
General Motors Corporation;27;Pre-2000;Azienda;US;America
The B. F. Goodrich Company;26;Pre-2000;Azienda;US;America
The United States Of America As Represented By The United States;23;Pre-2000;Ente pubblico;US;America
YAMAHA;22;Pre-2000;Azienda;JP;Asia
Ishikawajima Harima Heavy Ind Co Ltd;21;Pre-2000;Azienda;JP;Asia
ROLLS-ROYCE;21;Pre-2000;Azienda;GB;Europa
BOSCH;20;Pre-2000;Azienda;DE;Europa
The United States Of America As Represented By The Secretary Of The Army;20;Pre-2000;Ente pubblico;US;America
LM WIND POWER;20;Pre-2000;Azienda;DK;Europa
KAWASAKI;19;Pre-2000;Azienda;JP;Asia
TOYOTA;18;Pre-2000;Azienda;JP;Asia
Grumman Aerospace Corporation;17;Pre-2000;Azienda;US;America
DENSO;17;Pre-2000;Azienda;JP;Asia
SHELL;15;Pre-2000;Azienda;NL;Europa
Nippon Steel Corp;15;Pre-2000;Azienda;JP;Asia
CATERPILLAR;15;Pre-2000;Azienda;US;America
Alliedsignal Inc.;15;Pre-2000;Azienda;US;America
Northrop Grumman Corporation;15;Pre-2000;Azienda;US;America
U.S. Windpower, Inc.;14;Pre-2000;Azienda;US;America
FORD;14;Pre-2000;Azienda;US;America
Electric Power Research Institute, Inc.;14;Pre-2000;Ente pubblico;US;America
Mcdonnell Douglas Corporation;14;Pre-2000;Azienda;US;America
Nkk Corp;13;Pre-2000;Azienda;JP;Asia
Massachusetts Institute Of Technology;13;Pre-2000;Università;US;America
SKF;13;Pre-2000;Azienda;SE;Europa
Minnesota Mining And Manufacturing Company;12;Pre-2000;Azienda;US;America
Messerschmitt-Boelkow-Blohm Gesellschaft Mit Beschraenkter Haftung;12;Pre-2000;Azienda;DE;Europa
Sikorsky Aircraft Corporation;12;Pre-2000;Azienda;US;America
Square D Company;12;Pre-2000;Azienda;US;America
Bell Helicopter Textron Inc.;12;Pre-2000;Azienda;US;America
Aerodyn Engineering Gmbh;11;Pre-2000;Azienda;DE;Europa
Koyo Seiko Co., Ltd.;11;Pre-2000;Azienda;JP;Asia
The United States Of America As Represented By The Secretary Of The Air;11;Pre-2000;Ente pubblico;US;America
Bonus Energy A/S;11;Pre-2000;Azienda;DK;Europa
IBM;10;Pre-2000;Azienda;US;America
NISSAN;10;Pre-2000;Azienda;JP;Asia
Tokyo Shibaura Electric Co;10;Pre-2000;Azienda;JP;Asia
Honeywell Inc.;10;Pre-2000;Azienda;US;America
Motorola, Inc.;10;Pre-2000;Azienda;US;America
Hughes Aircraft Company;10;Pre-2000;Azienda;US;America
Ntn Corp;9;Pre-2000;Azienda;JP;Asia
ROCKWELL;9;Pre-2000;Azienda;US;America
Conoco Inc.;9;Pre-2000;Azienda;US;America
Daikin Ind Ltd;9;Pre-2000;Azienda;JP;Asia
Canon Inc;9;Pre-2000;Azienda;JP;Asia
Kogyo Gijutsuin;9;Pre-2000;Ente pubblico;JP;Asia
The Torrington Company;9;Pre-2000;Azienda;US;America
British Aerospace Public Limited Company;9;Pre-2000;Azienda;GB;Europa
Isuzu Motors Ltd;8;Pre-2000;Azienda;JP;Asia
Daimlerchrysler Ag;8;Pre-2000;Azienda;DE;Europa
Ohbayashi Corp;8;Pre-2000;Azienda;JP;Asia
Taisei Corp;8;Pre-2000;Azienda;JP;Asia
Kansai Electric Power Co Inc:The;8;Pre-2000;Azienda;JP;Asia
Mitsui Eng & Shipbuild Co Ltd;8;Pre-2000;Azienda;JP;Asia
Messerschmitt-Boelkow-Blohm Gmbh, 8000 Muenchen, De;8;Pre-2000;Azienda;DE;Europa
Bayer Aktiengesellschaft;8;Pre-2000;Azienda;DE;Europa
Eaton Corporation;8;Pre-2000;Azienda;US;America
The Dow Chemical Company;8;Pre-2000;Azienda;US;America
Air Products And Chemicals, Inc.;8;Pre-2000;Azienda;US;America
Kajima Corp;8;Pre-2000;Azienda;JP;Asia
Aerospatiale Societe Nationale Industrielle;8;Pre-2000;Azienda;FR;Europa
SONY;8;Pre-2000;Azienda;JP;Asia
E.I. Du Pont De Nemours And Company;7;Pre-2000;Azienda;US;America
"Labrador; Gaudencio A.";7;Pre-2000;Altro;PH;Asia
Allied-Signal Inc.;7;Pre-2000;Azienda;US;America
"Spector; George";7;Pre-2000;Altro;US;America
Borg-Warner Automotive, Inc.;7;Pre-2000;Azienda;US;America
Tokyo Shibaura Denki Kk;7;Pre-2000;Azienda;JP;Asia
Koyo Seiko Co Ltd;7;Pre-2000;Azienda;JP;Asia
United Aircraft Corp,Us;7;Pre-2000;Azienda;US;America
Herter,Erich;7;Pre-2000;Altro;DE;Europa
Brown & Root, Inc.;7;Pre-2000;Azienda;US;America
Stiesdal, Henrik;7;Pre-2000;Altro;DK;Europa
The Regents Of The University Of California;7;Pre-2000;Università;US;America
National Research Development Corporation;6;Pre-2000;Ente pubblico;GB;Europa
"Mccabe; Francis J.";6;Pre-2000;Altro;US;America
Exxon Production Research Company;6;Pre-2000;Azienda;US;America
Lockheed Martin Corporation;6;Pre-2000;Azienda;US;America
Lockheed Corporation;6;Pre-2000;Azienda;US;America
Kraftwerk Union Aktiengesellschaft;6;Pre-2000;Azienda;DE;Europa
Institut Francais Du Petrole;6;Pre-2000;Ente pubblico;FR;Europa
Nissin Electric Co Ltd;6;Pre-2000;Azienda;JP;Asia
"Hickey; John J.";6;Pre-2000;Altro;US;America
Kobe Steel Ltd;6;Pre-2000;Azienda;JP;Asia
Grabau, Peter;6;Pre-2000;Altro;DE;Europa
Midwest Research Institute;6;Pre-2000;Ente pubblico;US;America
ZF;6;Pre-2000;Azienda;DE;Europa
Tovarishchestvo S Ogranichennoj Otvetstvennostyu Firma 'Obshchemash-Inzhiniring';6;Pre-2000;Azienda;RU;Europa
Sanyo Electric Co Ltd;6;Pre-2000;Azienda;JP;Asia
Atlantic Richfield Company;6;Pre-2000;Azienda;US;America
Borg-Warner Corporation;6;Pre-2000;Azienda;US;America
Alcatel;6;Pre-2000;Azienda;FR;Europa
Takenaka Komuten Co Ltd;6;Pre-2000;Azienda;JP;Asia
E. I. Du Pont De Nemours And Company;6;Pre-2000;Azienda;US;America
The B.F. Goodrich Company;6;Pre-2000;Azienda;US;America
"Eickmann; Karl";6;Pre-2000;Altro;DE;Europa
Sekisui Chem Co Ltd;6;Pre-2000;Azienda;JP;Asia
The Garrett Corporation;6;Pre-2000;Azienda;US;America
Abb Ab;6;Pre-2000;Azienda;SE;Europa
Tokyo Electric Power Co Inc:The;6;Pre-2000;Azienda;JP;Asia
"Mouton, Jr.; William J.";5;Pre-2000;Altro;US;America
Capstone Turbine Corporation;5;Pre-2000;Azienda;US;America
Nec Corp;5;Pre-2000;Azienda;JP;Asia
Ingenior F. Selmer A/S;5;Pre-2000;Azienda;NO;Europa
Isuzu Motors Limited;5;Pre-2000;Azienda;JP;Asia
Inst Elektrodinamiki;5;Pre-2000;Ente pubblico;UA;Europa
Nec Corporation;5;Pre-2000;Azienda;JP;Asia
National Power Plc;5;Pre-2000;Azienda;GB;Europa
A/S Hoyer-Ellefsen;5;Pre-2000;Azienda;NO;Europa
"Benoit; William R.";5;Pre-2000;Altro;US;America
"Benesh; Alvin H.";5;Pre-2000;Altro;US;America
The Timken Company;5;Pre-2000;Azienda;US;America
Illinois Tool Works Inc.;5;Pre-2000;Azienda;US;America
"Thompson; David F.";5;Pre-2000;Altro;US;America
Kajima Corporation;5;Pre-2000;Azienda;JP;Asia
Mazda Motor Corp;5;Pre-2000;Azienda;JP;Asia
Advanced Technology Institute Of Commuter-Helicopter, Ltd.;5;Pre-2000;Azienda;JP;Asia
Meidensha Corp;5;Pre-2000;Azienda;JP;Asia
Westland Helicopters Limited;5;Pre-2000;Azienda;GB;Europa
Messerschmitt-Boelkow-Blohm Gmbh;5;Pre-2000;Azienda;DE;Europa
"Laing; Oliver";5;Pre-2000;Altro;GB;Europa
"Weisbrich; Alfred L.";5;Pre-2000;Altro;US;America
